"TEXT";"CODE";"ZUSATZZIFFER";"GEMEINDE";"KANTON";"E";"N"
"Lipperswil";8564;5;"Wäldi";"TG";9.054;47.617
"Lippoldswilen";8566;5;"Kemmental";"TG";9.112;47.609
"Littenheid";9573;0;"Sirnach";"TG";9.006;47.438
"Litzirüti";7058;0;"Arosa";"GR";9.701;46.799
"Lobsigen";3268;0;"Seedorf (BE)";"BE";7.293;47.026
"Loc";3960;3;"Randogne";"VS";7.511;46.293
"Locarno";6605;0;"Locarno";"TI";8.783;46.180
"Locarno";6600;0;"Locarno";"TI";8.765;46.185
"Locarno";6600;0;"Locarno";"TI";8.793;46.168
"Loco";6661;0;"Isorno";"TI";8.671;46.202
"Lodano";6678;2;"Maggia";"TI";8.682;46.257
"Lodrino";6527;0;"Lodrino";"TI";8.978;46.301
"Lohn GR";7433;3;"Lohn (GR)";"GR";9.428;46.652
"Lohn SH";8235;0;"Lohn (SH)";"SH";8.671;47.756
"Lohn-Ammannsegg";4573;0;"Lohn-Ammannsegg";"SO";7.527;47.173
"Lohnstorf";3127;2;"Lohnstorf";"BE";7.510;46.806
"Lommis";9506;0;"Lommis";"TG";9.000;47.516
"Lommiswil";4514;0;"Lommiswil";"SO";7.463;47.222
"Lonay";1027;0;"Lonay";"VD";6.520;46.526
"Longirod";1261;35;"Longirod";"VD";6.258;46.494
"Lopagno";6956;0;"Capriasca";"TI";8.989;46.081
"Lopagno";6956;0;"Capriasca";"TI";8.992;46.118
"Lopagno";6956;0;"Capriasca";"TI";8.977;46.069
"Losone";6616;0;"Losone";"TI";8.758;46.168
"Lossy";1782;3;"La Sonnaz";"FR";7.111;46.833
"Lostallo";6558;0;"Lostallo";"GR";9.190;46.313
"Lostorf";4654;0;"Lostorf";"SO";7.951;47.383
"Lottigna";6716;3;"Acquarossa";"TI";8.943;46.469
"Lotzwil";4932;0;"Lotzwil";"BE";7.796;47.194
"Lourtier";1948;0;"Bagnes";"VS";7.267;46.049
"Lovatens";1682;2;"Lovatens";"VD";6.865;46.693
"Lovens";1756;2;"La Brillaz";"FR";7.020;46.772
"Loveresse";2732;4;"Loveresse";"BE";7.238;47.243
"Luc (Ayent)";1966;3;"Ayent";"VS";7.419;46.282
"Lucelle";2807;1;"Pleigne";"JU";7.242;47.417
"Lucens";1522;0;"Lucens";"VD";6.838;46.710
"Luchsingen";8775;1;"Glarus Süd";"GL";9.035;46.966
"Ludiano";6721;0;"Serravalle";"TI";8.969;46.420
"Lufingen";8426;0;"Lufingen";"ZH";8.593;47.490
"Lugaggia";6953;0;"Capriasca";"TI";9.012;46.108
"Lugaggia";6953;0;"Capriasca";"TI";8.969;46.059
"Lugano";6900;0;"Lugano";"TI";8.952;46.007
"Lugnez";2933;3;"Lugnez";"JU";7.097;47.483
"Lugnorre";1789;0;"Haut-Vully";"FR";7.070;46.950
"Luins";1184;0;"Luins";"VD";6.272;46.446
"Lully FR";1470;2;"Lully (FR)";"FR";6.848;46.835
"Lully VD";1132;0;"Lully (VD)";"VD";6.465;46.505
"Lumbrein";7148;0;"Lumnezia";"GR";9.137;46.685
"Lumino";6533;0;"Lumino";"TI";9.066;46.230
"Lunden";7222;0;"Schiers";"GR";9.712;46.950
"Lungern";6078;0;"Lungern";"OW";8.166;46.783
"Lupfig";5242;2;"Lupfig";"AG";8.202;47.443
"Lupsingen";4419;0;"Lupsingen";"BL";7.695;47.444
"Lurtigen";3215;3;"Lurtigen";"FR";7.171;46.929
"Lussery-Villars";1307;0;"Lussery-Villars";"VD";6.526;46.632
"Lussy FR";1690;2;"La Folliaz";"FR";6.944;46.715
"Lussy-sur-Morges";1167;0;"Lussy-sur-Morges";"VD";6.450;46.503
"Lustdorf";8512;2;"Thundorf";"TG";8.990;47.551
"Lustmühle";9062;0;"Teufen (AR)";"AR";9.357;47.399
"Luterbach";4542;0;"Luterbach";"SO";7.590;47.214
"Luthern";6156;0;"Luthern";"LU";7.917;47.059
"Luthern Bad";6156;2;"Luthern";"LU";7.927;47.028
"Lutry";1095;0;"Lutry";"VD";6.686;46.502
"Lutzenberg";9426;0;"Lutzenberg";"AR";9.577;47.458
"Luven";7141;0;"Ilanz/Glion";"GR";9.196;46.760
"Luzein";7242;0;"Luzein";"GR";9.762;46.920
"Luzern";6004;0;"Luzern";"LU";8.298;47.060
"Luzern";6014;0;"Luzern";"LU";8.309;47.054
"Luzern";6005;0;"Luzern";"LU";8.315;47.039
"Luzern";6003;0;"Luzern";"LU";8.297;47.050
"Luzern";6015;0;"Luzern";"LU";8.277;47.063
"Luzern";6006;0;"Luzern";"LU";8.333;47.052
"Lyss";3250;0;"Lyss";"BE";7.307;47.070
"Lyssach";3421;0;"Lyssach";"BE";7.576;47.065
"Lyssach";3421;0;"Oberburg";"BE";7.593;47.048
"Längenbühl";3636;0;"Forst-Längenbühl";"BE";7.538;46.757
"Lätti";3053;5;"Rapperswil (BE)";"BE";7.430;47.039
"Läufelfingen";4448;0;"Läufelfingen";"BL";7.849;47.395
"Léchelles";1773;0;"Léchelles";"FR";7.016;46.829
"Löhningen";8224;0;"Löhningen";"SH";8.553;47.699
"Lömmenschwil";9308;0;"Häggenschwil";"SG";9.358;47.498
"Lü";7534;0;"Val Müstair";"GR";10.36;46.622
"Lüchingen";9450;2;"Altstätten";"SG";9.552;47.387
"Lüen";7027;1;"Arosa";"GR";9.614;46.833
"Lüscherz";2576;0;"Lüscherz";"BE";7.151;47.046
"Lüsslingen";4574;1;"Lüsslingen-Nennigkofen";"SO";7.507;47.189
"Lüterkofen";4571;1;"Lüterkofen-Ichertswil";"SO";7.509;47.165
"Lüterswil";4584;2;"Lüterswil-Gächliwil";"SO";7.436;47.119
"Lütisburg";9604;0;"Lütisburg";"SG";9.085;47.395
"Lütisburg Station";9601;0;"Lütisburg";"SG";9.069;47.384
"Lütschental";3816;0;"Lütschental";"BE";7.948;46.637
"Lützelflüh-Goldbach";3432;0;"Lützelflüh";"BE";7.684;47.001
"Macolin";2532;0;"Evilard";"BE";7.216;47.142
"Madetswil";8322;0;"Russikon";"ZH";8.796;47.410
"Madiswil";4934;0;"Madiswil";"BE";7.799;47.167
"Madonna del Piano";6995;2;"Croglio";"TI";8.833;45.989
"Madrano";6780;2;"Airolo";"TI";8.629;46.527
"Madulain";7523;0;"Madulain";"GR";9.998;46.497
"Madulain";7523;0;"Madulain";"GR";9.935;46.587
"Magadino";6573;0;"Gambarogno";"TI";8.857;46.147
"Magden";4312;0;"Magden";"AG";7.821;47.525
"Maggia";6673;0;"Maggia";"TI";8.708;46.246
"Magliaso";6983;0;"Magliaso";"TI";8.886;45.982
"Maglio di Colla";6959;0;"Lugano";"TI";9.048;46.088
"Magnedens";1727;2;"Corpataux-Magnedens";"FR";7.081;46.742
"Maienfeld";7304;0;"Maienfeld";"GR";9.531;47.008
"Mairengo";6763;1;"Faido";"TI";8.787;46.487
"Maisprach";4464;0;"Maisprach";"BL";7.851;47.524
"Maladers";7026;0;"Maladers";"GR";9.560;46.837
"Malans GR";7208;0;"Malans";"GR";9.574;46.981
"Malans SG";9479;1;"Wartau";"SG";9.475;47.090
"Malix";7074;0;"Churwalden";"GR";9.531;46.813
"Malleray";2735;4;"Valbirse";"BE";7.264;47.236
"Maloja";7516;0;"Bregaglia";"GR";9.696;46.404
"Malters";6102;0;"Malters";"LU";8.188;47.037
"Malvaglia";6713;0;"Serravalle";"TI";8.984;46.413
"Mamishaus";3152;0;"Schwarzenburg";"BE";7.378;46.809
"Mammern";8265;0;"Mammern";"TG";8.916;47.645
"Mandach";5318;0;"Mandach";"AG";8.186;47.546
"Mannenbach-Salenstein";8268;0;"Salenstein";"TG";9.052;47.673
"Mannens";1775;2;"Montagny (FR)";"FR";6.970;46.792
"Manno";6928;0;"Manno";"TI";8.918;46.034
"Maracon";1613;0;"Maracon";"VD";6.871;46.549
"Marbach LU";6196;0;"Escholzmatt-Marbach";"LU";7.900;46.852
"Marbach SG";9437;0;"Marbach (SG)";"SG";9.567;47.391
"Marchissy";1261;32;"Marchissy";"VD";6.247;46.487
"Mariastein";4115;0;"Metzerlen-Mariastein";"SO";7.491;47.476
"Marin-Epagnier";2074;0;"La Tène";"NE";7.001;47.009
"Marly";1723;0;"Marly";"FR";7.158;46.774
"Marmorera";7456;2;"Marmorera";"GR";9.645;46.497
"Marnand";1524;0;"Valbroye";"VD";6.901;46.756
"Maroggia";6817;0;"Maroggia";"TI";8.972;45.937
"Marolta";6723;3;"Acquarossa";"TI";8.917;46.487
"Marolta";6723;3;"Acquarossa";"TI";8.878;46.481
"Marolta";6723;3;"Acquarossa";"TI";8.920;46.478
"Marsens";1633;0;"Marsens";"FR";7.064;46.655
"Marthalen";8460;0;"Marthalen";"ZH";8.646;47.628
"Martherenges";1063;2;"Montanaire";"VD";6.753;46.661
"Martigny";1920;0;"Martigny";"VS";7.073;46.100
"Martigny-Croix";1921;0;"Martigny-Combe";"VS";7.054;46.086
"Martina";7560;0;"Valsot";"GR";10.46;46.884
"Martisberg";3994;2;"Bettmeralp";"VS";8.098;46.387
"Maschwanden";8933;0;"Maschwanden";"ZH";8.428;47.231
"Mase";1968;0;"Mont-Noble";"VS";7.436;46.195
"Masein";7425;0;"Masein";"GR";9.426;46.701
"Maseltrangen";8723;2;"Schänis";"SG";9.049;47.191
"Massagno";6900;5;"Massagno";"TI";8.943;46.012
"Massongex";1869;0;"Massongex";"VS";6.989;46.242
"Massonnens";1692;0;"Massonnens";"FR";6.973;46.700
"Mastrils";7303;0;"Landquart";"GR";9.544;46.967
"Mathod";1438;0;"Mathod";"VD";6.567;46.766
"Mathon";7433;4;"Mathon";"GR";9.411;46.636
"Matran";1753;0;"Matran";"FR";7.096;46.786
"Matt";8766;0;"Glarus Süd";"GL";9.168;46.960
"Matten (St. Stephan)";3773;0;"St. Stephan";"BE";7.421;46.493
"Matten b. Interlaken";3800;3;"Matten bei Interlaken";"BE";7.873;46.679
"Mattstetten";3322;1;"Mattstetten";"BE";7.513;47.029
"Mattwil";8585;1;"Birwinken";"TG";9.210;47.579
"Matzendorf";4713;0;"Matzendorf";"SO";7.625;47.305
"Matzingen";9548;0;"Matzingen";"TG";8.928;47.521
"Mauborget";1453;2;"Mauborget";"VD";6.616;46.855
"Mauensee";6216;0;"Mauensee";"LU";8.067;47.167
"Maules";1625;2;"Sâles";"FR";6.991;46.638
"Maur";8124;0;"Maur";"ZH";8.671;47.335
"Mauraz";1148;2;"Mauraz";"VD";6.422;46.605
"Mauren FL";9493;0;"Mauren";"LI";9.545;47.218
"Mauren TG";8576;0;"Berg (TG)";"TG";9.151;47.566
"Mayens-de-Chamoson";1911;2;"Chamoson";"VS";7.181;46.205
"Mayens-de-la-Zour (Savièse)";1965;6;"Savièse";"VS";7.356;46.269
"Medeglia";6809;0;"Comunanza Cadenazzo/Monteceneri";"TI";9.058;46.140
"Medeglia";6809;0;"Monteceneri";"TI";8.969;46.115
"Medels im Rheinwald";7436;0;"Splügen";"GR";9.292;46.547
"Meggen";6045;0;"Meggen";"LU";8.372;47.046
"Mehlsecken";6260;4;"Reiden";"LU";7.957;47.244
"Meien";6485;0;"Wassen";"UR";8.549;46.725
"Meienberg";5643;3;"Sins";"AG";8.376;47.197
"Meienried";3294;2;"Meienried";"BE";7.341;47.138
"Meierskappel";6344;0;"Meierskappel";"LU";8.442;47.125
"Meikirch";3045;0;"Meikirch";"BE";7.362;47.009
"Meilen";8706;0;"Meilen";"ZH";8.646;47.274
"Meinier";1252;0;"Meinier";"GE";6.234;46.246
"Meinisberg";2554;0;"Meinisberg";"BE";7.349;47.161
"Meiringen";3860;0;"Meiringen";"BE";8.189;46.729
"Meisterschwanden";5616;0;"Meisterschwanden";"AG";8.234;47.295
"Melano";6818;0;"Melano";"TI";8.987;45.922
"Melchnau";4917;0;"Melchnau";"BE";7.856;47.183
"Melchsee-Frutt";6068;0;"Kerns";"OW";8.264;46.774
"Melchtal";6067;0;"Kerns";"OW";8.292;46.833
"Melide";6815;0;"Melide";"TI";8.943;45.953
"Mellikon";5465;0;"Mellikon";"AG";8.347;47.567
"Mellingen";5507;0;"Mellingen";"AG";8.281;47.418
"Mels";8887;0;"Mels";"SG";9.416;47.048
"Meltingen";4233;0;"Meltingen";"SO";7.587;47.383
"Mendrisio";6850;0;"Mendrisio";"TI";8.983;45.869
"Menzberg";6125;0;"Menznau";"LU";7.998;47.041
"Menzengrüt";8546;3;"Wiesendangen";"ZH";8.821;47.549
"Menziken";5737;0;"Menziken";"AG";8.193;47.239
"Menzingen";6313;0;"Menzingen";"ZG";8.596;47.179
"Menznau";6122;0;"Menznau";"LU";8.039;47.084
"Menzonio";6692;0;"Lavizzara";"TI";8.640;46.361
"Merenschwand";5634;0;"Merenschwand";"AG";8.380;47.257
"Mergoscia";6647;0;"Mergoscia";"TI";8.848;46.210
"Meride";6866;0;"Mendrisio";"TI";8.952;45.890
"Merishausen";8232;0;"Merishausen";"SH";8.607;47.760
"Merligen";3658;0;"Sigriswil";"BE";7.737;46.698
"Merlischachen";6402;0;"Küssnacht (SZ)";"SZ";8.408;47.066
"Mervelier";2827;0;"Mervelier";"JU";7.503;47.344
"Merzligen";3274;3;"Merzligen";"BE";7.254;47.087
"Mesocco";6563;0;"Mesocco";"GR";9.237;46.390
"Messen";3254;0;"Messen";"SO";7.451;47.092
"Mettau";5274;0;"Mettauertal";"AG";8.126;47.564
"Mettembert";2806;0;"Mettembert";"JU";7.320;47.396
"Mettendorf TG";8553;3;"Hüttlingen";"TG";8.964;47.578
"Mettlen";9517;0;"Bussnang";"TG";9.119;47.531
"Mettmenstetten";8932;0;"Mettmenstetten";"ZH";8.468;47.243
"Metzerlen";4116;0;"Metzerlen-Mariastein";"SO";7.465;47.465
"Mex VD";1031;0;"Mex (VD)";"VD";6.552;46.577
"Mex VS";1890;1;"Saint-Maurice";"VS";6.999;46.185
"Meyriez";3280;2;"Meyriez";"FR";7.109;46.925
"Meyrin";1217;0;"Meyrin";"GE";6.070;46.228
"Mezzovico";6805;0;"Mezzovico-Vira";"TI";8.915;46.089
"Mezzovico";6805;0;"Monteceneri";"TI";8.873;46.086
"Middes";1749;0;"Torny";"FR";6.949;46.768
"Mies";1295;1;"Mies";"VD";6.170;46.305
"Miex";1896;2;"Vouvry";"VS";6.863;46.338
"Miglieglia";6986;2;"Miglieglia";"TI";8.857;46.025
"Milken";3157;0;"Schwarzenburg";"BE";7.358;46.792
"Minusio";6648;0;"Minusio";"TI";8.818;46.178
"Miralago";7743;2;"Poschiavo";"GR";10.10;46.273
"Mirchel";3532;2;"Mirchel";"BE";7.647;46.895
"Misery";1721;1;"Misery-Courtion";"FR";7.069;46.851
"Mission";3961;27;"Anniviers";"VS";7.594;46.192
"Missy";1565;0;"Missy";"VD";6.970;46.880
"Misériez (Salins)";1991;5;"Sion";"VS";7.345;46.207
"Mitlödi";8756;0;"Glarus Süd";"GL";9.076;47.012
"Mittelhäusern";3147;0;"Köniz";"BE";7.368;46.876
"Miège";3972;0;"Miège";"VS";7.547;46.312
"Miécourt";2946;0;"La Baroche";"JU";7.176;47.426
"Mogelsberg";9122;0;"Neckertal";"SG";9.138;47.361
"Moghegno";6677;2;"Maggia";"TI";8.705;46.240
"Moiry VD";1148;8;"Moiry";"VD";6.453;46.648
"Molare";6760;1;"Faido";"TI";8.830;46.486
"Moleno";6524;0;"Moleno";"TI";8.993;46.268
"Molinazzo di Monteggio";6995;0;"Monteggio";"TI";8.820;45.991
"Molinis";7056;0;"Arosa";"GR";9.657;46.826
"Mollens VD";1146;0;"Mollens (VD)";"VD";6.363;46.577
"Mollens VS";3974;0;"Mollens (VS)";"VS";7.520;46.316
"Mollie-Margot";1073;2;"Savigny";"VD";6.750;46.556
"Mollis";8753;0;"Glarus Nord";"GL";9.082;47.094
"Molondin";1415;0;"Molondin";"VD";6.748;46.759
"Mols";8885;0;"Quarten";"SG";9.282;47.112
"Moléson-sur-Gruyères";1663;4;"Gruyères";"FR";7.037;46.562
"Mon";7458;0;"Albula/Alvra";"GR";9.561;46.650
"Moneto";6659;9;"Centovalli";"TI";8.620;46.150
"Monible";2715;2;"Petit-Val";"BE";7.200;47.276
"Monnaz";1125;0;"Echichens";"VD";6.479;46.528
"Mont-Crosin";2610;4;"Cormoret";"BE";7.034;47.183
"Mont-Soleil";2610;2;"Saint-Imier";"BE";6.986;47.159
"Mont-Tramelan";2723;0;"Mont-Tramelan";"BE";7.055;47.207
"Mont-de-Buttes";2116;0;"Val-de-Travers";"NE";6.514;46.880
"Mont-la-Ville";1148;5;"Mont-la-Ville";"VD";6.408;46.645
"Mont-sur-Rolle";1185;0;"Mont-sur-Rolle";"VD";6.337;46.470
"Montagne-de-Courtelary";2608;2;"Cortébert";"BE";7.115;47.170
"Montagne-de-Sonvilier";2615;2;"Sonvilier";"BE";6.946;47.120
"Montagnola";6926;0;"Collina d'Oro";"TI";8.917;45.982
"Montagnon (Leytron)";1912;3;"Leytron";"VS";7.192;46.190
"Montagny-la-Ville";1776;0;"Montagny (FR)";"FR";6.995;46.817
"Montagny-les-Monts";1774;2;"Montagny (FR)";"FR";6.992;46.810
"Montagny-près-Yverdon";1442;0;"Montagny-près-Yverdon";"VD";6.612;46.793
"Montalchez";2027;2;"Montalchez";"NE";6.745;46.897
"Montana";3963;3;"Montana";"VS";7.490;46.296
"Montaubion-Chardonney";1041;22;"Jorat-Menthue";"VD";6.714;46.647
"Montavon";2857;0;"Boécourt";"JU";7.233;47.372
"Montbovon";1669;5;"Haut-Intyamon";"FR";7.045;46.486
"Montbrelloz";1475;3;"Vernay";"FR";6.885;46.853
"Montcherand";1354;0;"Montcherand";"VD";6.510;46.732
"Monte";6875;0;"Castel San Pietro";"TI";9.027;45.881
"Monte Carasso";6513;0;"Monte Carasso";"TI";8.999;46.189
"Monteiller (Savièse)";1965;9;"Savièse";"VS";7.354;46.257
"Montenol";2884;0;"Clos du Doubs";"JU";7.151;47.352
"Montet (Broye)";1483;0;"Les Montets";"FR";6.868;46.816
"Montet (Glâne)";1674;2;"Montet (Glâne)";"FR";6.814;46.644
"Montezillon";2037;2;"Rochefort";"NE";6.837;46.986
"Montfaucon";2362;0;"Montfaucon";"JU";7.051;47.282
"Montfavergier";2362;2;"Montfaucon";"JU";7.089;47.309
"Montherod";1174;0;"Montherod";"VD";6.365;46.498
"Monthey";1870;0;"Monthey";"VS";6.815;46.207
"Monthey";1870;0;"Monthey";"VS";6.947;46.252
"Montignez";2924;0;"Basse-Allaine";"JU";7.059;47.487
"Montlingen";9462;0;"Oberriet (SG)";"SG";9.590;47.334
"Montlingen";9462;0;"Oberriet (SG)";"SG";9.507;47.310
"Montmagny";1587;0;"Vully-les-Lacs";"VD";7.009;46.926
"Montmelon";2883;0;"Clos du Doubs";"JU";7.179;47.352
"Montmollin";2037;0;"Val-de-Ruz";"NE";6.846;46.993
"Montpreveyres";1081;0;"Montpreveyres";"VD";6.748;46.584
"Montreux";1820;0;"Montreux";"VD";6.912;46.430
"Montricher";1147;0;"Montricher";"VD";6.376;46.601
"Montsevelier";2828;0;"Val Terbi";"JU";7.510;47.359
"Montévraz";1724;4;"Le Mouret";"FR";7.175;46.726
"Moosleerau";5054;2;"Moosleerau";"AG";8.060;47.266
"Moosseedorf";3302;0;"Moosseedorf";"BE";7.482;47.017
"Morbio Inferiore";6834;0;"Morbio Inferiore";"TI";9.019;45.851
"Morbio Superiore";6835;0;"Breggia";"TI";9.022;45.862
"Morcles";1892;2;"Lavey-Morcles";"VD";7.036;46.209
"Morcote";6922;0;"Morcote";"TI";8.914;45.923
"Morens FR";1541;2;"Morens (FR)";"FR";6.907;46.844
"Morgarten";6315;3;"Oberägeri";"ZG";8.635;47.100
"Morges";1110;0;"Morges";"VD";6.500;46.510
"Morgins";1875;0;"Troistorrents";"VS";6.857;46.237
"Morissen";7143;0;"Lumnezia";"GR";9.178;46.730
"Morlens";1674;3;"Ursy";"FR";6.836;46.653
"Morlon";1638;0;"Morlon";"FR";7.087;46.627
"Morrens VD";1054;0;"Morrens (VD)";"VD";6.626;46.591
"Morschach";6443;0;"Morschach";"SZ";8.616;46.980
"Mosen";6295;0;"Hitzkirch";"LU";8.227;47.242
"Mosnang";9607;0;"Mosnang";"SG";9.039;47.360
"Mosogno";6611;13;"Mosogno";"TI";8.639;46.198
"Mossel";1675;3;"Ursy";"FR";6.849;46.607
"Motto (Blenio)";6721;2;"Acquarossa";"TI";8.971;46.428
"Moudon";1510;0;"Moudon";"VD";6.799;46.668
"Moutier";2740;0;"Moutier";"BE";7.372;47.280
"Movelier";2812;0;"Movelier";"JU";7.319;47.411
"Mugena";6939;1;"Alto Malcantone";"TI";8.889;46.048
"Muggio";6838;0;"Breggia";"TI";9.043;45.902
"Muhen";5037;0;"Muhen";"AG";8.051;47.335
"Mulegns";7455;0;"Mulegns";"GR";9.618;46.524
"Mumpf";4322;0;"Mumpf";"AG";7.913;47.545
"Mumpé Medel";7183;0;"Disentis/Mustér";"GR";8.847;46.687
"Mund";3903;0;"Naters";"VS";7.939;46.316
"Muntelier";3286;0;"Muntelier";"FR";7.124;46.935
"Muolen";9313;0;"Muolen";"SG";9.321;47.520
"Muotathal";6436;0;"Muotathal";"SZ";8.759;46.977
"Mur (Vully) FR";1787;1;"Haut-Vully";"FR";7.063;46.944
"Mur (Vully) VD";1787;2;"Vully-les-Lacs";"VD";7.060;46.945
"Muralto";6600;2;"Muralto";"TI";8.802;46.174
"Muraz (Collombey)";1893;0;"Collombey-Muraz";"VS";6.925;46.280
"Muraz (Sierre)";3960;5;"Sierre";"VS";7.529;46.297
"Murg";8877;0;"Quarten";"SG";9.213;47.111
"Murgenthal";4853;0;"Murgenthal";"AG";7.832;47.265
"Murgenthal";4853;0;"Murgenthal";"AG";7.828;47.251
"Muri AG";5630;0;"Muri (AG)";"AG";8.338;47.272
"Muri b. Bern";3074;0;"Muri bei Bern";"BE";7.488;46.928
"Muriaux";2338;2;"Muriaux";"JU";6.978;47.246
"Murist";1489;0;"Murist";"FR";6.807;46.790
"Murten";3280;0;"Murten";"FR";7.119;46.928
"Murzelen";3034;0;"Wohlen bei Bern";"BE";7.314;46.980
"Mutrux";1428;2;"Mutrux";"VD";6.727;46.883
"Mutten";7431;1;"Mutten";"GR";9.497;46.679
"Muttenz";4132;0;"Muttenz";"BL";7.654;47.521
"Muzzano";6933;0;"Muzzano";"TI";8.918;45.998
"Mädris-Vermol";8886;0;"Mels";"SG";9.391;47.049
"Mägenwil";5506;0;"Mägenwil";"AG";8.233;47.409
"Männedorf";8708;0;"Männedorf";"ZH";8.697;47.258
"Märstetten";8560;0;"Märstetten";"TG";9.063;47.591
"Märwil";9562;0;"Affeltrangen";"TG";9.069;47.530
"Ménières";1533;0;"Ménières";"FR";6.881;46.784
"Mézery-près-Donneloye";1407;3;"Donneloye";"VD";6.727;46.749
"Mézières FR";1684;0;"Mézières (FR)";"FR";6.926;46.679
"Mézières VD";1083;0;"Mézières (VD)";"VD";6.771;46.595
"Môtier (Vully)";1787;0;"Haut-Vully";"FR";7.083;46.948
"Môtiers NE";2112;0;"Val-de-Travers";"NE";6.611;46.911
"Möhlin";4313;0;"Möhlin";"AG";7.843;47.561
"Mönchaltorf";8617;0;"Mönchaltorf";"ZH";8.715;47.313
"Mönthal";5237;0;"Mönthal";"AG";8.140;47.517
"Mörel";3983;0;"Mörel-Filet";"VS";8.044;46.357
"Mörigen";2572;2;"Mörigen";"BE";7.212;47.084
"Möriken AG";5103;2;"Möriken-Wildegg";"AG";8.191;47.416
"Mörschwil";9402;0;"Mörschwil";"SG";9.424;47.468
"Mötschwil";3324;2;"Mötschwil";"BE";7.567;47.048
"Mühlau";5642;0;"Mühlau";"AG";8.386;47.231
"Mühlebach (Goms)";3995;3;"Ernen";"VS";8.238;46.407
"Mühlebach (Goms)";3995;3;"Ernen";"VS";8.160;46.409
"Mühleberg";3203;0;"Mühleberg";"BE";7.263;46.956
"Mühledorf BE";3116;2;"Mühledorf (BE)";"BE";7.529;46.828
"Mühledorf SO";4583;0;"Buchegg";"SO";7.478;47.133
"Mühlehorn";8874;0;"Glarus Nord";"GL";9.175;47.114
"Mühlethal";4812;0;"Zofingen";"AG";7.978;47.301
"Mühlethurnen";3127;0;"Mühlethurnen";"BE";7.507;46.814
"Mühlrüti";9613;0;"Mosnang";"SG";8.982;47.370
"Mülchi";3317;1;"Fraubrunnen";"BE";7.473;47.101
"Mülenen";3711;2;"Aeschi bei Spiez";"BE";7.688;46.639
"Müllheim Dorf";8555;0;"Müllheim";"TG";9.005;47.601
"Müllheim-Wigoltingen";8554;0;"Wigoltingen";"TG";9.014;47.590
"Mülligen";5243;0;"Mülligen";"AG";8.239;47.455
"Mümliswil";4717;0;"Mümliswil-Ramiswil";"SO";7.695;47.341
"Münchenbuchsee";3053;0;"Münchenbuchsee";"BE";7.446;47.021
"Münchenstein";4142;0;"Münchenstein";"BL";7.621;47.513
"Münchenwiler";1797;0;"Münchenwiler";"BE";7.126;46.911
"Münchringen";3303;2;"Jegenstorf";"BE";7.522;47.046
"Münchwilen AG";4333;0;"Münchwilen (AG)";"AG";7.964;47.535
"Münchwilen TG";9542;0;"Münchwilen (TG)";"TG";8.990;47.479
"Münsingen";3110;0;"Münsingen";"BE";7.555;46.876
"Münster VS";3985;0;"Münster-Geschinen";"VS";8.266;46.489
"Münsterlingen";8596;1;"Münsterlingen";"TG";9.235;47.631
"Müntschemier";3225;0;"Müntschemier";"BE";7.143;46.996
"Mürren";3825;0;"Lauterbrunnen";"BE";7.894;46.560
"Müselbach";9602;2;"Kirchberg (SG)";"SG";9.044;47.392
"Müstair";7537;0;"Val Müstair";"GR";10.44;46.621
"Müswangen";6289;0;"Hitzkirch";"LU";8.289;47.238
"Nassen";9123;0;"Neckertal";"SG";9.139;47.374
"Nassenwil";8155;1;"Niederhasli";"ZH";8.469;47.466
"Naters";3904;0;"Naters";"VS";7.983;46.326
"Nax";1973;0;"Mont-Noble";"VS";7.434;46.229
"Naz";1041;26;"Montilliez";"VD";6.695;46.658
"Nebikon";6244;0;"Nebikon";"LU";7.974;47.191
"Necker";9126;0;"Oberhelfenschwil";"SG";9.128;47.347
"Neerach";8173;0;"Neerach";"ZH";8.471;47.508
"Neftenbach";8413;0;"Neftenbach";"ZH";8.675;47.527
"Neggio";6991;0;"Neggio";"TI";8.879;45.987
"Neirivue";1669;4;"Haut-Intyamon";"FR";7.058;46.525
"Nendeln";9485;0;"Eschen";"LI";9.544;47.198
"Nennigkofen";4574;0;"Lüsslingen-Nennigkofen";"SO";7.489;47.187
"Nenzlingen";4224;0;"Nenzlingen";"BL";7.557;47.447
"Neschwil";8484;2;"Weisslingen";"ZH";8.792;47.429
"Nesselnbach";5524;2;"Niederwil (AG)";"AG";8.295;47.390
"Nesslau";9650;0;"Nesslau";"SG";9.201;47.223
"Netstal";8754;0;"Glarus";"GL";9.050;47.063
"Neu St. Johann";9652;0;"Nesslau";"SG";9.192;47.233
"Neuchâtel";2000;0;"Neuchâtel";"NE";6.926;46.992
"Neudorf";6025;0;"Beromünster";"LU";8.211;47.177
"Neuendorf";4623;0;"Neuendorf";"SO";7.796;47.301
"Neuenegg";3176;0;"Neuenegg";"BE";7.292;46.896
"Neuenhof";5432;0;"Neuenhof";"AG";8.323;47.445
"Neuenkirch";6206;0;"Neuenkirch";"LU";8.203;47.099
"Neuhaus SG";8732;0;"Eschenbach (SG)";"SG";8.943;47.244
"Neuhausen am Rheinfall";8212;0;"Neuhausen am Rheinfall";"SH";8.617;47.681
"Neuheim";6345;0;"Neuheim";"ZG";8.580;47.201
"Neukirch (Egnach)";9315;0;"Egnach";"TG";9.370;47.527
"Neukirch an der Thur";9217;0;"Kradolf-Schönenberg";"TG";9.168;47.511
