"TEXT";"CODE";"ZUSATZZIFFER";"GEMEINDE";"KANTON";"E";"N"
"Asp";5025;0;"Densbüren";"AG";8.048;47.442
"Assens";1042;0;"Assens";"VD";6.622;46.612
"Astano";6999;0;"Astano";"TI";8.817;46.013
"Asuel";2954;0;"La Baroche";"JU";7.209;47.400
"Athenaz (Avusy)";1285;0;"Avusy";"GE";6.007;46.154
"Attalens";1616;0;"Attalens";"FR";6.849;46.510
"Attelwil";5056;0;"Attelwil";"AG";8.044;47.262
"Attikon";8544;0;"Wiesendangen";"ZH";8.798;47.535
"Attinghausen";6468;0;"Attinghausen";"UR";8.624;46.865
"Attiswil";4536;0;"Attiswil";"BE";7.616;47.250
"Au SG";9434;0;"Au (SG)";"SG";9.633;47.433
"Au TG";8376;2;"Fischingen";"TG";8.951;47.397
"Au ZH";8804;0;"Wädenswil";"ZH";8.646;47.248
"Aubonne";1170;0;"Aubonne";"VD";6.392;46.496
"Auboranges";1673;3;"Auboranges";"FR";6.805;46.582
"Auddes-sur-Riddes";1914;2;"Riddes";"VS";7.244;46.154
"Auenstein";5105;0;"Auenstein";"AG";8.145;47.419
"Augio";6547;0;"Rossa";"GR";9.124;46.365
"Augst BL";4302;0;"Augst";"BL";7.720;47.532
"Aumont";1484;0;"Les Montets";"FR";6.848;46.801
"Auressio";6661;2;"Isorno";"TI";8.684;46.201
"Aurigeno";6677;1;"Maggia";"TI";8.712;46.230
"Auslikon";8331;0;"Pfäffikon";"ZH";8.806;47.345
"Ausserberg";3938;0;"Ausserberg";"VS";7.849;46.314
"Ausserbinn";3995;2;"Ernen";"VS";8.149;46.383
"Ausserferrera";7444;0;"Ferrera";"GR";9.441;46.557
"Auswil";4944;0;"Auswil";"BE";7.832;47.134
"Autafond";1782;2;"Autafond";"FR";7.077;46.813
"Autavaux";1475;0;"Vernay";"FR";6.877;46.865
"Autigny";1742;0;"Autigny";"FR";7.020;46.736
"Auvernier";2012;0;"Milvignes";"NE";6.877;46.977
"Auw";5644;0;"Auw";"AG";8.368;47.211
"Avegno";6670;0;"Avegno Gordevio";"TI";8.745;46.206
