"BFSNR"|"GEMEINDENAME"|"SPRACHREGION"|"GEMEINDE_GROESSE"|"STADT"|"LON"|"LAT"|"PLZ"|"INITIAL"
352|"Bolligen"|1|5|false|7.503403|46.976194|3065|false
353|"Bremgarten bei Bern"|1|6|false|7.434353|46.978517|3047|false
354|"Kirchlindach"|1|6|false|7.417111|46.976544|3037|false
355|"Köniz"|1|3|true|7.449536|46.928583|3084|false
356|"Muri bei Bern"|1|4|true|7.509275|46.935047|3073|false
358|"Stettlen"|1|6|false|7.528233|46.963800|3066|false
359|"Vechigen"|1|6|false|7.547606|46.953522|3067|false
360|"Wohlen bei Bern"|1|5|false|7.372542|46.968378|3032|false
361|"Zollikofen"|1|4|true|7.461419|46.992897|3052|false
362|"Ittigen"|1|4|true|7.466211|46.981219|3048|false
363|"Ostermundigen"|1|4|true|7.497664|46.957686|3072|false
371|"Biel/Bienne"|1|2|true|7.245731|47.141983|2502|false
372|"Evilard"|1|6|false|7.216717|47.142056|2532|false
383|"Büren an der Aare"|1|6|false|7.371306|47.136997|3294|false
387|"Lengnau (BE)"|1|6|false|7.369178|47.182375|2543|false
392|"Pieterlen"|1|6|false|7.328283|47.174122|2542|false
404|"Burgdorf"|1|4|true|7.632700|47.057914|3400|false
406|"Hasle bei Burgdorf"|1|6|false|7.646519|47.016431|3415|false
409|"Hindelbank"|1|6|false|7.540036|47.041761|3324|false
412|"Kirchberg (BE)"|1|5|false|7.577403|47.081886|3422|false
413|"Koppigen"|1|6|false|7.595542|47.133214|3425|false
414|"Krauchthal"|1|6|false|7.554178|47.029003|3325|false
418|"Oberburg"|1|6|false|7.621717|47.036389|3414|false
420|"Rüdtligen-Alchenflüh"|1|6|false|7.577403|47.081886|3422|false
443|"Saint-Imier"|2|6|false|6.996725|47.131528|2610|false
446|"Tramelan"|2|6|false|7.153314|47.222089|2720|false
496|"Ins"|1|6|false|7.101925|47.009092|3232|false
533|"Bätterkinden"|1|6|false|7.532086|47.131997|3315|false
538|"Fraubrunnen"|1|6|false|7.480644|47.084469|3306|false
540|"Jegenstorf"|1|5|false|7.475861|47.040486|3303|false
544|"Moosseedorf"|1|6|false|7.482211|47.017519|3302|false
546|"Münchenbuchsee"|1|5|true|7.453650|47.037333|3053|false
551|"Urtenen-Schönbühl"|1|5|false|7.513767|47.029936|3322|false
552|"Utzenstorf"|1|6|false|7.557289|47.126800|3427|false
561|"Adelboden"|1|6|false|7.558819|46.492906|3715|false
562|"Aeschi bei Spiez"|1|6|false|7.694431|46.659911|3703|false
563|"Frutigen"|1|5|false|7.611864|46.564253|3724|false
567|"Reichenbach im Kandertal"|1|6|false|7.684983|46.654328|3711|false
572|"Bönigen"|1|6|false|7.900481|46.684028|3806|false
573|"Brienz (BE)"|1|6|false|8.038303|46.721439|3855|false
576|"Grindelwald"|1|6|false|7.978083|46.637925|3816|false
581|"Interlaken"|1|5|true|7.910217|46.652339|3800|false
584|"Lauterbrunnen"|1|6|false|7.895628|46.620250|3822|false
587|"Matten bei Interlaken"|1|6|false|7.910217|46.652339|3800|false
590|"Ringgenberg (BE)"|1|6|false|7.880272|46.696583|3805|false
593|"Unterseen"|1|5|false|7.910217|46.652339|3800|false
594|"Wilderswil"|1|6|false|7.869478|46.666086|3812|false
608|"Grosshöchstetten"|1|6|false|7.641661|46.907075|3506|false
612|"Konolfingen"|1|6|false|7.594778|46.889572|3503|false
616|"Münsingen"|1|4|true|7.580047|46.905711|3083|false
619|"Oberdiessbach"|1|6|false|7.646469|46.837542|3672|false
623|"Rubigen"|1|6|false|7.549253|46.897911|3113|false
627|"Worb"|1|4|false|7.538522|46.929711|3075|false
632|"Wichtrach"|1|6|false|7.573258|46.847439|3114|false
667|"Laupen"|1|6|false|7.243456|46.905894|3177|false
668|"Mühleberg"|1|6|false|7.263214|46.956264|3203|false
670|"Neuenegg"|1|6|false|7.292700|46.896514|3176|false
700|"Moutier"|2|5|false|7.372169|47.280481|2740|false
703|"Reconvilier"|2|6|false|7.238825|47.243872|2732|false
713|"Tavannes"|2|6|false|7.197400|47.221494|2710|false
717|"Valbirse"|2|6|false|7.254442|47.238917|2733|false
723|"La Neuveville"|2|6|false|7.097061|47.064450|2520|false
726|"Plateau de Diesse"|2|6|false|7.129889|47.099319|2515|false
733|"Brügg"|1|6|false|7.278125|47.123539|2555|false
739|"Ipsach"|1|6|false|7.229433|47.116300|2563|false
743|"Nidau"|1|5|false|7.240561|47.125036|2560|false
744|"Orpund"|1|6|false|7.312844|47.137236|2552|false
745|"Port"|1|6|false|7.255428|47.117217|2562|false
749|"Studen (BE)"|1|6|false|7.303242|47.113047|2557|false
751|"Täuffelen"|1|6|false|7.201272|47.075006|2575|false
755|"Worben"|1|6|false|7.292347|47.094000|3252|false
762|"Diemtigen"|1|6|false|7.580483|46.658669|3753|false
768|"Spiez"|1|4|true|7.646017|46.709431|3646|false
769|"Wimmis"|1|6|false|7.635292|46.672972|3752|false
785|"Meiringen"|1|6|false|8.112142|46.739181|3857|false
792|"Lenk"|1|6|false|7.440903|46.456456|3775|false
794|"Zweisimmen"|1|6|false|7.371836|46.552014|3770|false
843|"Saanen"|1|5|false|7.292803|46.577031|1657|false
855|"Schwarzenburg"|1|5|false|7.347211|46.841886|3148|false
861|"Belp"|1|4|true|7.509181|46.892986|3123|false
870|"Kehrsatz"|1|6|false|7.473553|46.912631|3122|false
879|"Riggisberg"|1|6|false|7.447528|46.782797|3099|false
883|"Seftigen"|1|6|false|7.543814|46.788642|3662|false
884|"Toffen"|1|6|false|7.492822|46.858517|3125|false
886|"Wattenwil"|1|6|false|7.504869|46.770525|3665|false
901|"Eggiwil"|1|6|false|7.766453|46.908883|3536|false
902|"Langnau im Emmental"|1|5|false|7.785108|46.941858|3550|false
903|"Lauperswil"|1|6|false|7.737897|46.966531|3438|false
905|"Rüderswil"|1|6|false|7.694469|46.985597|3433|false
907|"Signau"|1|6|false|7.720981|46.920331|3534|false
928|"Heimberg"|1|5|false|7.599661|46.793567|3627|false
929|"Hilterfingen"|1|6|false|7.653411|46.747117|3626|false
934|"Oberhofen am Thunersee"|1|6|false|7.675056|46.732086|3653|false
938|"Sigriswil"|1|6|false|7.701972|46.714442|3654|false
939|"Steffisburg"|1|4|true|7.624922|46.777347|3612|false
941|"Thierachern"|1|6|false|7.576317|46.751517|3634|false
942|"Thun"|1|3|true|7.631258|46.758742|3600|true
944|"Uetendorf"|1|5|false|7.576097|46.778450|3661|false
954|"Huttwil"|1|6|false|7.849953|47.113714|4950|false
955|"Lützelflüh"|1|6|false|7.684433|47.001425|3432|false
956|"Rüegsau"|1|6|false|7.675539|47.027017|3417|false
957|"Sumiswald"|1|5|false|7.744989|47.027769|3454|false
979|"Herzogenbuchsee"|1|5|false|7.714364|47.194533|3360|false
981|"Niederbipp"|1|6|false|7.701836|47.268381|4704|false
992|"Wangen an der Aare"|1|6|false|7.691778|47.237364|3380|false
995|"Wiedlisbach"|1|6|false|7.647969|47.246950|4537|false
1002|"Entlebuch"|1|6|false|8.064728|46.992217|6162|false
