"ID"|"SWISSDOC"
3438|"9.853.1.0"
3439|"9.854.1.0"
3440|"9.855.1.0"
3588|"9.340.4.0"
3591|"9.562.2.0"
3593|"9.563.1.0"
3594|"9.564.3.0"
3596|"9.563.2.0"
3596|"9.563.1.0"
3597|"9.563.2.0"
3946|"9.563.1.0"
3947|"9.563.1.0"
3949|"9.563.2.0"
3951|"9.611.9.0"
3955|"9.814.3.0"
3957|"9.851.1.0"
4001|"9.614.3.0"
4093|"9.562.1.0"
4094|"9.563.1.0"
4095|"9.563.2.0"
4096|"9.563.3.0"
4097|"9.563.5.0"
4098|"9.564.3.0"
4099|"9.565.2.0"
4101|"9.622.1.0"
4262|"9.566.2.0"
47999|"9.220.2.0"
48000|"9.220.2.0"
48001|"9.220.2.0"
4411|"9.310.2.0"
4412|"9.562.2.0"
52812|"9.562.2.0"
4413|"9.701.1.0"
4422|"9.825.8.0"
4423|"9.830.3.0"
4424|"9.854.1.0"
4425|"9.852.1.0"
4553|"9.611.3.0"
4554|"9.851.2.0"
4605|"9.220.2.0"
4609|"9.701.1.0"
4617|"9.722.1.0"
4622|"9.722.1.0"
4627|"9.731.1.0"
4645|"9.563.6.0"
4646|"9.611.9.0"
4647|"9.822.12.0"
4716|"9.853.1.0"
4720|"9.854.2.0"
4721|"9.855.1.0"
4817|"9.703.2.0"
4818|"9.703.5.0"
4819|"9.703.7.0"
4820|"9.710.8.0"
4825|"9.725.9.0"
4826|"9.725.26.0"
4826|"9.701.1.0"
4833|"9.814.3.0"
4834|"9.814.4.0"
4940|"9.450.8.0"
4941|"9.616.7.0"
4943|"9.723.2.0"
4944|"9.723.2.0"
4944|"9.725.1.0"
4946|"9.723.5.0"
4949|"9.723.5.0"
4959|"9.725.10.0"
4960|"9.725.17.0"
4962|"9.734.11.0"
4963|"9.734.11.0"
4965|"9.725.1.0"
5132|"9.563.3.0"
5268|"9.563.2.0"
5270|"9.563.4.0"
5271|"9.563.6.0"
5272|"9.614.3.0"
5280|"9.851.1.0"
5281|"9.852.1.0"
5282|"9.852.2.0"
5283|"9.853.1.0"
5284|"9.854.1.0"
5285|"9.854.1.0"
5286|"9.854.1.0"
5287|"9.854.2.0"
5288|"9.854.2.0"
5290|"9.855.1.0"
5291|"9.861.16.0"
5311|"9.562.2.0"
5313|"9.563.2.0"
5314|"9.563.3.0"
5315|"9.563.4.0"
5316|"9.563.6.0"
5317|"9.614.3.0"
5321|"9.616.10.0"
5324|"9.702.6.0"
5327|"9.703.5.0"
5330|"9.703.7.0"
5332|"9.703.2.0"
5335|"9.814.3.0"
5343|"9.851.5.0"
5344|"9.852.1.0"
5345|"9.852.2.0"
5346|"9.853.1.0"
5347|"9.854.1.0"
5349|"9.854.2.0"
5350|"9.854.2.0"
5351|"9.854.2.0"
5353|"9.855.1.0"
5358|"9.555.3.0"
5358|"9.563.8.0"
5360|"9.562.1.0"
5364|"9.562.2.0"
5365|"9.563.1.0"
5370|"9.563.5.0"
5374|"9.563.8.0"
5376|"9.814.6.0"
5377|"9.851.1.0"
5378|"9.851.1.0"
5381|"9.851.1.0"
5382|"9.853.1.0"
5383|"9.853.1.0"
5384|"9.853.1.0"
5385|"9.854.1.0"
5386|"9.854.1.0"
5387|"9.854.1.0"
5388|"9.854.1.0"
5389|"9.854.1.0"
5392|"9.854.2.0"
5394|"9.855.1.0"
5458|"9.563.6.0"
5460|"9.563.6.0"
5533|"9.854.2.0"
5534|"9.854.3.0"
5535|"9.854.3.0"
5536|"9.855.3.0"
5539|"9.854.1.0"
5540|"9.854.2.0"
5541|"9.854.2.0"
5542|"9.616.10.0"
5543|"9.701.3.0"
5604|"9.350.2.0"
5605|"9.350.2.0"
5606|"9.350.2.0"
5607|"9.350.3.0"
5798|"9.616.6.0"
5803|"9.611.3.0"
5804|"9.612.4.0"
5804|"9.613.2.0"
5804|"9.612.1.0"
5807|"9.734.11.0"
5808|"9.734.11.0"
6171|"9.854.2.0"
6172|"9.855.1.0"
6173|"9.861.16.0"
6174|"9.822.12.0"
6175|"9.822.12.0"
6176|"9.822.12.0"
6180|"9.822.12.0"
6181|"9.822.12.0"
6182|"9.822.12.0"
6184|"9.822.12.0"
6186|"9.822.12.0"
6187|"9.822.12.0"
6188|"9.822.12.0"
6189|"9.822.12.0"
6190|"9.822.12.0"
6191|"9.822.12.0"
6192|"9.822.12.0"
6193|"9.822.12.0"
6194|"9.822.12.0"
6195|"9.822.12.0"
6196|"9.822.12.0"
6197|"9.822.12.0"
6198|"9.822.12.0"
6212|"9.822.12.0"
6219|"9.710.8.0"
6256|"9.826.10.0"
53250|"9.220.2.0"
6553|"9.220.2.0"
6555|"9.562.1.0"
6665|"9.825.1.0"
6682|"9.562.1.0"
6684|"9.563.2.0"
6702|"9.563.1.0"
6705|"9.562.1.0"
6706|"9.562.2.0"
6707|"9.563.1.0"
6708|"9.563.2.0"
6709|"9.563.2.0"
6710|"9.563.5.0"
6711|"9.564.5.0"
6712|"9.814.3.0"
6713|"9.814.4.0"
6717|"9.562.1.0"
6718|"9.562.1.0"
6721|"9.562.1.0"
6723|"9.562.1.0"
6724|"9.562.2.0"
40435|"9.562.2.0"
6726|"9.563.1.0"
6727|"9.563.1.0"
6728|"9.563.1.0"
64037|"9.563.1.0"
6729|"9.563.1.0"
6730|"9.563.2.0"
6731|"9.563.2.0"
6732|"9.563.3.0"
6733|"9.563.3.0"
6734|"9.563.5.0"
6735|"9.563.7.0"
6736|"9.563.7.0"
6737|"9.564.3.0"
3598|"9.563.3.0"
3609|"9.614.3.0"
13943|"9.725.6.0"
13943|"9.725.9.0"
13943|"9.725.10.0"
13943|"9.725.13.0"
13944|"9.725.6.0"
13945|"9.725.13.0"
13947|"9.320.1.0"
13947|"9.851.1.0"
38645|"9.320.1.0"
38645|"9.851.1.0"
13950|"9.851.1.0"
37656|"9.851.1.0"
37674|"9.851.1.0"
37680|"9.851.1.0"
37681|"9.851.1.0"
37682|"9.851.1.0"
37683|"9.851.1.0"
37684|"9.851.1.0"
14394|"9.210.2.0"
14653|"9.723.5.0"
14654|"9.723.5.0"
14655|"9.723.5.0"
14656|"9.723.5.0"
14676|"9.703.5.0"
14677|"9.734.2.0"
14677|"9.616.5.0"
14681|"9.617.1.0"
14705|"9.612.4.0"
14712|"9.611.3.0"
14714|"9.614.3.0"
14715|"9.703.7.0"
14790|"9.827.1.0"
14793|"9.851.1.0"
14795|"9.851.2.0"
14796|"9.851.2.0"
14797|"9.851.2.0"
14800|"9.851.2.0"
14801|"9.852.1.0"
14802|"9.852.2.0"
15181|"9.555.2.0"
15183|"9.555.5.0"
15186|"9.555.5.0"
15187|"9.555.6.0"
15271|"9.616.4.0"
15273|"9.616.5.0"
15273|"9.616.6.0"
15275|"9.616.7.0"
15276|"9.614.3.0"
15277|"9.614.3.0"
15280|"9.612.4.0"
15281|"9.613.2.0"
15343|"9.852.2.0"
15343|"9.852.3.0"
15346|"9.852.2.0"
15346|"9.852.3.0"
15354|"9.853.1.0"
15355|"9.853.2.0"
15356|"9.854.1.0"
15358|"9.854.1.0"
15371|"9.854.2.0"
15376|"9.854.3.0"
15378|"9.855.1.0"
15385|"9.861.11.0"
15387|"9.861.14.0"
15388|"9.861.16.0"
15391|"9.862.1.0"
15393|"9.862.5.0"
15430|"9.616.7.0"
15431|"9.616.7.0"
15476|"9.702.6.0"
15477|"9.702.6.0"
15477|"9.734.11.0"
15817|"9.611.9.0"
15818|"9.814.3.0"
15819|"9.814.3.0"
15820|"9.814.4.0"
15821|"9.814.4.0"
15823|"9.814.5.0"
15825|"9.614.3.0"
15831|"9.850.2.0"
15859|"9.850.2.0"
15874|"9.851.1.0"
15876|"9.852.1.0"
15878|"9.852.2.0"
15920|"9.852.2.0"
15921|"9.853.1.0"
15922|"9.854.1.0"
16246|"9.854.2.0"
16247|"9.854.2.0"
16253|"9.855.2.0"
16254|"9.861.11.0"
16255|"9.861.16.0"
16256|"9.861.18.0"
16257|"9.862.1.0"
16258|"9.862.5.0"
16259|"9.862.8.0"
16260|"9.866.1.0"
16268|"9.734.8.0"
16269|"9.734.8.0"
16279|"9.702.5.0"
16287|"9.701.5.0"
16287|"9.611.3.0"
16300|"9.614.3.0"
16301|"9.616.10.0"
16302|"9.616.10.0"
16303|"9.612.4.0"
16304|"9.612.4.0"
16305|"9.613.2.0"
16306|"9.702.7.0"
16307|"9.703.7.0"
16310|"9.724.1.0"
16311|"9.725.20.0"
16425|"9.563.6.0"
16598|"9.854.2.0"
16804|"9.564.2.0"
16805|"9.563.3.0"
16805|"9.563.2.0"
16818|"9.563.4.0"
16818|"9.563.1.0"
16818|"9.563.2.0"
16818|"9.563.3.0"
16819|"9.563.5.0"
16873|"9.440.2.0"
16874|"9.210.4.0"
16876|"9.440.2.0"
16877|"9.440.2.0"
16878|"9.440.2.0"
52667|"9.440.2.0"
52668|"9.440.2.0"
52669|"9.440.2.0"
52670|"9.440.2.0"
16880|"9.590.4.0"
16881|"9.440.2.0"
16882|"9.616.3.0"
16883|"9.703.2.0"
16884|"9.702.6.0"
16888|"9.555.4.0"
33733|"9.555.4.0"
16889|"9.555.4.0"
33734|"9.555.4.0"
16899|"9.701.1.0"
17248|"9.854.2.0"
17249|"9.854.2.0"
17354|"9.855.1.0"
17358|"9.611.3.0"
17529|"9.160.6.0"
17541|"9.611.3.0"
17542|"9.611.3.0"
17545|"9.614.3.0"
17546|"9.614.3.0"
17547|"9.614.3.0"
17583|"9.854.1.0"
17584|"9.854.1.0"
17585|"9.854.1.0"
17586|"9.854.1.0"
17587|"9.854.1.0"
17590|"9.854.2.0"
17591|"9.854.2.0"
17592|"9.854.2.0"
17593|"9.854.2.0"
17594|"9.854.2.0"
17595|"9.854.2.0"
17596|"9.854.2.0"
17598|"9.855.1.0"
17599|"9.855.1.0"
17601|"9.822.50.0"
17603|"9.000.2.0"
17606|"9.611.3.0"
17606|"9.701.5.0"
17607|"9.562.1.0"
17608|"9.562.1.0"
17609|"9.562.2.0"
17610|"9.562.2.0"
17611|"9.562.2.0"
17612|"9.564.3.0"
17613|"9.563.1.0"
17614|"9.563.2.0"
17615|"9.563.2.0"
17617|"9.563.5.0"
17618|"9.562.1.0"
17653|"9.350.2.0"
17654|"9.350.2.0"
17655|"9.350.2.0"
17657|"9.350.2.0"
17658|"9.350.2.0"
17665|"9.724.1.0"
17668|"9.725.10.0"
17669|"9.725.25.0"
17671|"9.734.11.0"
18072|"9.855.1.0"
18087|"9.866.1.0"
18264|"9.854.2.0"
18265|"9.854.2.0"
18266|"9.854.2.0"
18267|"9.854.2.0"
18269|"9.854.2.0"
18270|"9.854.2.0"
18274|"9.855.1.0"
18276|"9.855.2.0"
18277|"9.855.2.0"
18282|"9.861.3.0"
18283|"9.861.4.0"
18284|"9.861.5.0"
18286|"9.861.11.0"
18287|"9.861.12.0"
18288|"9.861.13.0"
18289|"9.861.14.0"
18291|"9.861.16.0"
18292|"9.861.17.0"
18293|"9.861.18.0"
18294|"9.861.19.0"
18295|"9.861.20.0"
18296|"9.861.21.0"
18300|"9.862.1.0"
18301|"9.862.1.0"
18302|"9.862.5.0"
18303|"9.862.6.0"
18308|"9.862.15.0"
18310|"9.862.19.0"
18311|"9.862.21.0"
18314|"9.864.2.0"
18317|"9.866.1.0"
18328|"9.150.2.0"
